Build time, Delete time
0,0
0,0
0,0
0.001,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0.000999,0
0,0
0,0
0,0
0,0
0.001002,0
0,0
0,0
0,0
0.001,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0,0
0.000999,0
0,0
0,0
0,0
0.001003,0
0,0
0,0
0,0
0,0
0.001,0
0,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0,0
0.001,0
0,0
0,0
0.001002,0
0,0
0,0
0.001,0
0,0
0,0
0.001001,0
0,0
0,0
0.001,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0.001,0
0,0
0,0
0.000504,0
0,0
0.000502,0
0.000501,0
0.000499,0
0.000503,0
0,0
0.000499,0
0,0
0,0
0.0005,0
0,0
0.0005,0
0,0
0,0
0,0
0.000502,0
0,0
0,0
0.0005,0
0,0
0.0005,0
0,0
0,0
0.000501,0
0,0
0.0005,0
0,0
0,0
0.0005,0
0,0
0.000503,0
0,0
0,0
0.000498,0
0,0
0.0005,0
0,0
0,0
0.0005,0
0,0
0,0
0.000501,0
0,0
0.0005,0
0,0
0,0
0.0005,0
0,0
0,0
0.000501,0
0,0
0.0005,0
0,0
0,0
0.000501,0
0,0
0.0005,0
0,0
0,0
0.0005,0
0,0
0,0
0.0005,0
0,0
0.000503,0
0,0
0,0
0,0
0,0
0.001004,0
0,0
0,0
0,0
0,0
0,0
0,0
0.001,0
0,0
0,0
0,0
0.001003,0
0,0
0,0
0.000998,0
0,0
0,0
0,0
0,0
0.001,0
0,0
0,0
0.001003,0
0,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0,0
0,0
0.001,0
0,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0,0
0.001,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0,0
0.001,0
0,0
0,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0,0
0,0
0.001,0
0,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0,0
0.001,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.000999,0
0,0
0,0
0,0
0.001,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0,0
0.001,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0.001,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0.000999,0
0,0
0,0
0,0
0.001002,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0,0
0.001,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0.001,0
0,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0,0
0.001,0
0,0
0,0
0,0
0,0
0.001,0
0,0
0,0
0,0
0.001002,0
0,0
0,0
0,0
0,0
0.001,0
0,0
0,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0,0
0.001,0
0,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0,0
0,0
0.000999,0
0,0
0,0
0,0
0,0
0.001003,0
0,0
0,0
0,0
0,0
0.001,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.000999,0
0,0
0,0
0,0
0.001002,0
0,0
0,0
0,0
0,0
0,0
0.001002,0
0,0
0,0
0,0
0,0
0.001,0
0,0
0,0
0,0
0,0
0,0
0.001,0
0,0
0,0
0,0
0,0
0.000999,0
0,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0,0
0.001,0
0,0
0,0
0,0
0,0
0.001003,0
0,0
0,0
0,0
0,0
0.000998,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0.001002,0
0,0
0,0
0,0
0,0
0,0.001001
0,0
0,0
0,0
0,0
0,0
0.001,0
0,0
0,0
0,0
0,0
0.001001,0
0,0
0,0
0,0
0,0
0,0.000999
0,0
